A1927;0
A1928;50
A1929;63
A193;9
A1930;22
A1931;0
A1932;0
A1933;24
A1934;50
A1935;8
A1936;14
A1937;46
A1938;23
A1939;16
A194;22
A1940;171
A1941;200
A1942;23
A1943;84
A1944;167
A1945;116
A1946;0
A1947;2
A1948;62
A1949;208
A195;38
A1950;0
A1951;118
A1952;2
A1953;27
A1954;0
A1955;2
A1956;31
A1957;67
A1958;48
A1959;89
A196;47
A1960;92
A1961;92
A1962;47
A1963;316
A1964;197
A1965;147
A1966;206
A1967;128
A1968;138
A1969;151
A197;32
A1970;109
A1971;151
A1972;63
A1973;27
A1974;16
A1975;29
A1976;19
A1977;31
A1978;34
A1979;14
A1980;31
A1981;50
A1982;23
A1983;10
A1984;11
A1985;0
A1986;44
A1987;37
A1988;61
A1989;99
A199;27
A1990;16
A1991;0
A1992;0
A1993;0
A1994;0
A1995;10
A1996;0
A1997;0
A1998;3
A1999;1
A20;74
A2000;28
A2001;0
A2002;2
A2003;0
A2004;0
A2005;1
A2006;0
A2007;0
A2008;0
A2009;282
A201;22
A2010;258
A2011;169
A2012;302
A2013;146
A2014;173
A2015;357
A2016;240
A2017;633
A2018;367
A2019;463
A2020;671
A2021;200
A2022;323
A2023;206
A2024;337
A2025;182
A2026;224
A2027;406
A2028;397
A2029;544
A203;16
A2030;387
A2031;281
A2032;242
A2033;181
A2034;0
A2035;0
A2036;0
A2037;0
A2038;0
A2039;0
A2040;190
A2041;248
A2042;239
A2043;235
A2044;244
A2045;201
A2046;241
A2047;0
A2048;7
A2049;0
A205;20
A2050;9
A2051;0
A2052;0
A2053;239
A2054;243
A2055;217
A2056;222
A2057;177
A2058;220
A2059;849
A206;75
A2060;493
A2061;488
A2062;488
AN2063;1
A2063;30
AN2064;1
A2064;31
AN2065;1
A2065;12
AN2066;1
A2066;8
AN2067;1
A2067;3
AN2068;1
A2068;40
AN2069;1
A2069;6
A207;16
AN2070;1
A2070;2
AN2071;1
A2071;3
AN2072;1
A2072;2
AN2073;1
A2073;1
AN2074;1
A2074;12
AN2075;0
A2075;0
AN2076;0
A2076;0
AN2077;0
A2077;1
AN2078;1
A2078;7
AN2079;1
A2079;10
A208;0
AN2080;1
A2080;18
AN2081;1
A2081;15
AN2082;1
A2082;16
AN2083;1
A2083;26
AN2084;1
A2084;8
AN2085;1
A2085;9
AN2086;1
A2086;17
AN2087;1
A2087;9
AN2088;1
A2088;6
AN2089;1
A2089;19
A209;23
AN2090;1
A2090;2
AN2091;1
A2091;2
AN2092;1
A2092;4
AN2093;1
A2093;13
AN2094;1
A2094;8
AN2095;1
A2095;1
AN2096;1
A2096;6
AN2097;1
A2097;8
AN2098;0
A2098;0
AN2099;1
A2099;16
A21;0
A210;88
AN2100;1
A2100;4
AN2101;1
A2101;10
A2102;57
A2103;6
A2104;21
A2105;21
A2106;3
A2107;23
A2108;0
A2109;1
A211;75
A2110;0
A2111;0
A2112;0
A2113;59
A2114;0
A2115;7
A2116;25
A2117;4
A2118;3
A2119;0
A212;83
A2120;0
A2121;0
A2122;1
A2123;48
A2124;152
A2125;139
A2126;32
A2127;0
A2128;2
A2129;22
A2130;16
A2131;8
A2132;0
A2133;25
A2134;75
A2135;78
A2136;74
A2137;156
A2138;189
A2139;37
A214;133
A2140;8
A2141;8
A2142;15
A2143;20
A2144;42
A2145;48
A2146;62
A2147;68
A2148;96
A2149;51
A2150;64
A2151;56
A2152;19
A2153;11
A2154;0
A2155;0
A2156;2
A2157;2
A2158;8
A2159;2
A216;79
A2160;10
A2161;2
A2162;2
A2163;0
A2164;1
A2165;1
A2166;1
A2167;5
A2168;2
A2169;8
A2170;3
A2171;3
A2172;0
A2173;1
A2174;1
A2175;0
A2176;0
A2177;0
A2178;0
A2179;2
A218;11
A2180;3
A2181;0
A2182;1
A2183;0
A2184;0
A2185;0
A2186;0
A2187;0
A2188;0
A2189;3
A2190;169
A2191;227
A2192;263
A2193;393
A2194;187
A2195;161
A2196;124
A2197;89
A2198;106
A2199;33
A22;0
A220;8
A2200;27
A2201;34
A2202;0
A2203;6
A2204;1
A2205;3
A2206;321
A2207;256
A2208;481
A2209;195
A221;8
A2210;192
A2211;203
A2212;7
A2213;11
A2214;305
A2215;107
A2216;209
A2217;321
A2218;287
A2219;227
A222;4
A2220;34
A2221;34
A2222;68
A2223;133
A2224;141
A2225;60
A2226;88
A2227;220
A2228;25
A2229;27
A223;6
A2230;15
A2231;47
A2232;126
A2233;123
A2234;71
